household_monthly_income_kes,parent_occupation,orphan_status,disability,dependents_count,siblings_in_college,residence_type,gender,band
19135.0,informal_business,not_orphan,0,3,1,urban_formal,male,5
6912.0,informal_business,not_orphan,0,3,1,urban_informal,female,2
6936.0,informal_business,not_orphan,0,3,1,urban_informal,female,2
59258.0,formal_employment,not_orphan,0,3,1,rural_high_poverty,female,5
20139.0,informal_business,not_orphan,0,3,1,urban_informal,male,3
34867.0,formal_employment,not_orphan,0,3,1,urban_formal,female,5
22730.0,informal_business,not_orphan,0,3,1,rural_low_poverty,female,3
37510.0,formal_employment,not_orphan,0,3,1,rural_high_poverty,female,3
32940.0,informal_business,not_orphan,0,3,1,urban_formal,male,5
11756.0,informal_business,not_orphan,0,3,1,urban_informal,male,3
17604.0,formal_employment,not_orphan,0,3,1,rural_high_poverty,female,3
7386.0,informal_business,not_orphan,1,3,1,urban_informal,male,1
4963.0,deceased_one,single_orphan,0,3,1,urban_formal,male,2
11049.0,informal_business,not_orphan,0,3,1,rural_high_poverty,male,2
14954.0,informal_business,not_orphan,1,3,1,urban_formal,female,2
3210.0,unemployed,not_orphan,0,3,1,urban_informal,female,1
1407.0,unemployed,not_orphan,0,3,1,rural_high_poverty,female,1
54656.0,formal_employment,not_orphan,0,3,1,rural_high_poverty,female,5
29587.0,informal_business,not_orphan,1,3,1,urban_formal,female,3
26861.0,formal_employment,not_orphan,0,3,1,rural_low_poverty,female,3
9074.0,unemployed,not_orphan,0,3,1,rural_low_poverty,male,3
25693.0,informal_business,not_orphan,0,3,1,urban_informal,female,4
4927.0,deceased_both,double_orphan,0,3,1,rural_low_poverty,male,1
11759.0,informal_business,not_orphan,1,3,1,rural_high_poverty,male,2
8249.0,informal_business,not_orphan,0,3,1,rural_high_poverty,male,2
12318.0,deceased_one,single_orphan,0,3,1,rural_low_poverty,male,2
13005.0,formal_employment,not_orphan,0,3,1,urban_formal,male,4
15017.0,informal_business,not_orphan,0,3,1,urban_informal,female,2
14466.0,informal_business,not_orphan,0,3,1,rural_low_poverty,female,3
11654.0,informal_business,not_orphan,0,3,1,rural_high_poverty,female,3
3297.0,unemployed,not_orphan,0,3,1,urban_formal,female,2
3766.0,unemployed,not_orphan,0,3,1,rural_high_poverty,female,1
4101.0,unemployed,not_orphan,0,3,1,urban_informal,male,2
20030.0,informal_business,not_orphan,0,3,1,rural_low_poverty,male,3
10142.0,informal_business,not_orphan,0,3,1,urban_informal,male,2
44021.0,formal_employment,not_orphan,0,3,1,rural_low_poverty,female,5
49019.0,formal_employment,not_orphan,0,3,1,rural_high_poverty,male,3
41480.0,formal_employment,not_orphan,0,3,1,rural_high_poverty,female,3
1927.0,unemployed,not_orphan,0,3,1,urban_informal,female,1
11265.0,informal_business,not_orphan,0,3,1,rural_high_poverty,female,2
19950.0,informal_business,not_orphan,0,3,1,rural_high_poverty,male,5
14189.0,informal_business,not_orphan,0,3,1,rural_high_poverty,male,3
4924.0,unemployed,not_orphan,0,3,1,urban_formal,female,2
16453.0,informal_business,not_orphan,0,3,1,urban_informal,female,4
23483.0,informal_business,not_orphan,0,3,1,urban_informal,male,3
6211.0,unemployed,not_orphan,0,3,1,rural_low_poverty,male,3
